"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"Ctnnbip1",5.79322735427325,5.76171863210141,5.67123445861207,5.75992114180442,6.06135695976323,1.86057121063543,2.33918513517091,2.98401012532611,2.19491812640071,3.13036549845635,3.16552567840869
"Kif4",5.76438728236734,5.51864187170555,5.42213267706193,5.80067075396722,5.2406777520987,2.75473829862331,3.50122488026635,3.20065162567545,5.56570757029187,3.36567123859596,3.30683849360329
"Fermt2",0.837566006907578,1.63627155211689,2.07082355880225,1.0829681721374,2.16561553124095,-1.42659146609125,-0.756467103892777,-0.215433963036256,-3.70715545291003,-0.859580836879726,-2.83125042071702
"Rnaseh1",4.90890167464326,4.70627774495335,4.58142212458548,4.87211600155012,4.8268258672196,4.8040580559205,4.58968914604857,4.48112927706931,4.61747516235715,4.37279567302934,4.63168998369741
"2310011J03Rik",5.51820932453132,5.46680737522876,5.3906793118812,5.48989528980051,5.84332296821781,5.98723791445051,6.06535830097316,6.17648398721029,5.86989565682512,6.20850075141009,6.30793546111848
"Itgax",8.82736835153525,8.6252095951575,8.74885501697827,8.72632869450758,8.41525180220248,4.950102432227,5.00786946178957,5.08025489506303,6.3237875068806,6.51706712963315,6.67172341584217
"Med20",5.13139062637625,5.17905891724967,5.25296839013284,5.11899493802774,5.2406777520987,5.98562551412521,5.89342644718953,5.82946841598604,5.6043658269161,5.71700848281642,5.75960391869223
"Ier3",3.4691011456429,3.50585679590085,3.33213121991657,2.58482054722076,3.24502024968563,2.32574935396187,2.51333825991845,2.6014752657346,1.24704085747684,2.14708289340128,1.7960228848621
"Adgre5",7.77656670384695,7.67374196011041,7.77801754154851,7.782666444259,7.86586301392804,5.16764426088664,5.4256869271745,5.2077063832094,6.60050075239646,6.73674698281241,6.79732530892897
"Apc2",0.41873692846636,0.999437417196993,0.34074435022128,0.707756653351746,-0.288826935308677,-0.204199044754807,-0.156074562602015,0.0862217368248447,-0.537230451467719,0.893326301155501,-0.994749152999901
"Cnih1",5.12674986631225,5.11603679315856,5.17162419958974,4.96168602689567,5.31915878717377,4.44904819553282,4.46550973482784,4.6948078420719,4.38771397980867,4.71756820931846,4.77607989303259
"Rps27a",4.98394926591323,4.96515498609496,5.09732714639991,5.22384671506758,4.92456956920376,4.74046820165667,4.65456543497189,4.72571603350847,4.63002041567627,5.19690635446675,4.9188583588232
"Lmbr1",0.356675960334109,0.704360541959062,1.02167590947316,0.199292290104634,0.252882367458596,-1.9120182932615,1.08375245207045,-2.18226709910106,-0.301163093234195,0.451620851414578,-0.509322325829659
"Apba3",4.59119075621941,4.63425895698805,4.55945172474987,4.57604440973652,5.1560044932512,4.94014705029015,5.10231605697183,5.08025489506303,4.76126494895452,5.01215331331518,4.87413512002887
"Hbp1",6.23931900969595,6.13679878716485,6.40614979894071,6.05832391888045,6.44613987273153,7.41665663406645,7.39213248242417,7.30685102950738,7.05655488147793,7.33115838318663,7.23195203155179
